SubscriberKey,SentCount_7Days,SentCount_31Days,SentCount_6Mos,SentCount_12Mos,SentCount_Life,LastSentDateTimeUTC,OpenCount_7Days,OpenCount_31Days,OpenCount_6Mos,OpenCount_12Mos,OpenCount_Life,LastOpenDateTimeUTC,ClickCount_7Days,ClickCount_31Days,ClickCount_6Mos,ClickCount_12Mos,ClickCount_Life,LastClickDateTimeUTC,BounceCount_7Days,BounceCount_31Days,BounceCount_6Mos,BounceCount_12Mos,BounceCount_Life,LastBounceDateTimeUTC,LastUnsubDateTimeUTC,LastModifiedDateTimeUTC
0013t00001jHuSrAAK,,,,172,194,6/24/2020 4:22:37 PM,,,,0,0,,,,,0,0,,,,,0,0,,,1/10/2021 12:00:00 AM
0013t00001jHuSSAA0,,,,172,194,6/24/2020 4:22:37 PM,,,,0,0,,,,,0,0,,,,,0,0,,,1/10/2021 12:00:00 AM
0013t00001jHutrAAC,,,,172,194,6/24/2020 4:22:37 PM,,,,172,194,6/24/2020 4:22:37 PM,,,,172,194,6/24/2020 4:22:37 PM,,,,0,0,,,1/10/2021 12:00:00 AM
0013t00001jHuttAAC,,,,172,194,6/24/2020 4:22:37 PM,,,,172,194,6/24/2020 4:22:37 PM,,,,172,194,6/24/2020 4:22:37 PM,,,,0,0,,,1/10/2021 12:00:00 AM
0013t00001jHutuAAC,,,,172,194,6/24/2020 4:22:37 PM,,,,172,194,6/24/2020 4:22:37 PM,,,,172,194,6/24/2020 4:22:37 PM,,,,0,0,,,1/10/2021 12:00:00 AM
0013t00001jHuTVAA0,,,,172,194,6/24/2020 4:22:37 PM,,,,0,0,,,,,0,0,,,,,0,0,,,1/10/2021 12:00:00 AM
0013t00001jHutvAAC,,,,172,194,6/24/2020 4:22:37 PM,,,,0,10,5/27/2019 11:04:03 PM,,,,172,194,6/24/2020 4:22:37 PM,,,,0,0,,,1/10/2021 12:00:00 AM
0013t00001jHuTwAAK,,,,172,194,6/24/2020 4:22:37 PM,,,,0,0,,,,,0,0,,,,,0,0,,,1/10/2021 12:00:00 AM
0013t00001jHutXAAS,,,,172,194,6/24/2020 4:22:37 PM,,,,0,0,,,,,172,194,6/24/2020 4:22:37 PM,,,,0,0,,,1/10/2021 12:00:00 AM
0013t00001jHutyAAC,,,,172,194,6/24/2020 4:22:37 PM,,,,0,0,,,,,172,194,6/24/2020 4:22:37 PM,,,,0,0,,,1/10/2021 12:00:00 AM
0013t00001jHutzAAC,,,,172,194,6/24/2020 4:22:37 PM,,,,0,0,,,,,172,194,6/24/2020 4:22:37 PM,,,,0,0,,,1/10/2021 12:00:00 AM
0013t00001jHuu1AAC,,,,172,194,6/24/2020 4:22:37 PM,,,,0,0,,,,,172,194,6/24/2020 4:22:37 PM,,,,0,0,,,1/10/2021 12:00:00 AM
